#timestamp x y z qx qy qz qw
1670531267.00373936 7.26753825 -6.16645650 0.18244890 -0.00423256 -0.02051921 0.24399047 0.96955129
1670531267.10367894 7.36335413 -6.11193522 0.17542728 -0.00891342 -0.01867426 0.24542272 0.96919529
1670531267.20348120 7.45651759 -6.06684501 0.18071053 -0.00745504 -0.00848538 0.24666145 0.96903589
1670531267.30324554 7.54216641 -6.01397470 0.18134738 -0.01128543 0.00013654 0.24714344 0.96891317
1670531267.40303159 7.61868362 -5.95638965 0.17458405 -0.01218651 -0.00264606 0.24799836 0.96868019
1670531267.50276256 7.70042312 -5.90451412 0.16727768 -0.01304301 -0.00353050 0.24965307 0.96824106
1670531267.60262299 7.78376148 -5.85830608 0.17985152 -0.01124710 -0.00927257 0.25009433 0.96811174
1670531267.70263886 7.85822439 -5.80588129 0.17952608 -0.01181336 -0.01125338 0.25148338 0.96772409
1670531267.80265284 7.94189504 -5.75553439 0.18263547 -0.01074559 -0.00620211 0.25544736 0.96674335
1670531267.90239644 8.04424865 -5.69333807 0.19658933 -0.01267002 -0.00448001 0.27076615 0.96255134
1670531268.00210357 8.12637249 -5.63205721 0.19165216 -0.01093262 0.00289757 0.29750214 0.95465416
1670531268.10214210 8.20188837 -5.57901873 0.19792634 -0.01354639 0.00117343 0.32077464 0.94705794
1670531268.20219612 8.28957925 -5.51547193 0.18589057 -0.01450420 0.00429610 0.34744384 0.93757877
1670531268.30244541 8.36023672 -5.45416334 0.18288911 -0.01497275 0.01055579 0.37316444 0.92758433
1670531268.40273285 8.41008288 -5.39359705 0.16576573 -0.01156250 0.00200876 0.40182775 0.91564007
1670531268.50301933 8.45875705 -5.33431908 0.17175077 -0.01714668 -0.00159057 0.42513008 0.90496844
1670531268.60319281 8.52351055 -5.26246278 0.16690636 -0.00709745 -0.00761996 0.45372714 0.89107982
1670531268.70340061 8.57522093 -5.18973750 0.19611059 -0.01029320 -0.01108403 0.47669670 0.87893769
1670531268.80342650 8.61995670 -5.10256369 0.17524144 -0.00963651 -0.00413934 0.50349068 0.86393700
1670531268.90349054 8.65323160 -5.02536881 0.20537812 -0.01049922 -0.00489838 0.52525774 0.85086431
1670531269.00343370 8.68178476 -4.92251892 0.16921562 -0.01807059 0.00001166 0.55167435 0.83386382
1670531269.10341859 8.70448913 -4.84932140 0.19275022 -0.01426279 -0.00550268 0.57144323 0.82049920
1670531269.20322919 8.73600768 -4.75094647 0.17205370 -0.01847768 -0.00141971 0.59751331 0.80164481
